StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q49,Q5,Q8,Q8_3_TEXT,Q11,Q25#1_1,Q25#1_2,Q28#1_1,Q28#1_2,Q31#1_1,Q31#1_2,Q33#1_1,Q33#1_2,Q35#1_1,Q35#1_2,Q37#1_1,Q37#1_2,Q39#1_1,Q39#1_2,Q41#1_1,Q41#1_2,Q43#1_1,Q43#1_2,Q45#1_1,Q45#1_2,Q47#1_1,Q47#1_2,Q49#1_1,Q49#1_2,Q51#1_1,Q51#1_2,Q53#1_1,Q53#1_2,Q55#1_1,Q55#1_2,Q57#1_1,Q57#1_2,Q60#1_1,Q60#1_2,Q62#1_1,Q62#1_2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By accepting this, you consent to the following: 

1.     I agree to participate in this study.

2.     I confirm that I have read and understood how my data will be stored and used.

3.     I understand that I have the right to terminate this session at any point. If I choose to withdraw after completing the study, my data will be deleted at that time.",What is your age?,Please provide a memorable identification code. You can refer to that code if you want your data to be removed from the study.,Which of the following best describes your gender? - Selected Choice,"Which of the following best describes your gender? - If you feel like your gender is not represented here, we invite you to write down how you identify your gender in the following space: - Text",Which gender are you generally more attracted to?,David does not think others will work hard unless they are forced to. He has a reputation of usin... - David - How much would you like this person for a short-term sexual affair?,David does not think others will work hard unless they are forced to. He has a reputation of usin... - David - How much would you like this person for a long-term committed relationship?,Megan does not think others will work hard unless they are forced to. She has a reputation of usi... - Megan - How much would you like this person for a short-term sexual affair?,Megan does not think others will work hard unless they are forced to. She has a reputation of usi... - Megan - How much would you like this person for a long-term committed relationship?,Harry expects the same treatment from everyone and doesn’t perceive himself as more special than... - Harry - How much would you like this person for a short-term sexual affair?,Harry expects the same treatment from everyone and doesn’t perceive himself as more special than... - Harry - How much would you like this person for a long-term committed relationship?,Candice expects the same treatment from everyone and doesn’t perceive herself as more special tha... - Candice - How much would you like this person for a short-term sexual affair?,Candice expects the same treatment from everyone and doesn’t perceive herself as more special tha... - Candice - How much would you like this person for a long-term committed relationship?,Adam has a reputation of getting angry easily. He is not at all concerned with the morality of hi... - Adam - How much would you like this person for a short-term sexual affair?,Adam has a reputation of getting angry easily. He is not at all concerned with the morality of hi... - Adam - How much would you like this person for a long-term committed relationship?,Amanda has a reputation of getting angry easily. She is not at all concerned with the morality of... - Amanda - How much would you like this person for a short-term sexual affair?,Amanda has a reputation of getting angry easily. She is not at all concerned with the morality of... - Amanda - How much would you like this person for a long-term committed relationship?,Peter is described as someone who always wants others to pay attention to him. He often expects f... - Peter - How much would you like this person for a short-term sexual affair?,Peter is described as someone who always wants others to pay attention to him. He often expects f... - Peter - How much would you like this person for a long-term committed relationship?,Kiera is described as someone who always wants others to pay attention to her. She often expects... - Kiera - How much would you like this person for a short-term sexual affair?,Kiera is described as someone who always wants others to pay attention to her. She often expects... - Kiera - How much would you like this person for a long-term committed relationship?,Russell doesn't believe it is wise to flatter important people.He does not manipulate others and... - Russell - How much would you like this person for a short-term sexual affair?,Russell doesn't believe it is wise to flatter important people.He does not manipulate others and... - Russell - How much would you like this person for a long-term committed relationship?,Maria doesn't believe it is wise to flatter important people.She does not manipulate others and a... - Maria - How much would you like this person for a short-term sexual affair?,Maria doesn't believe it is wise to flatter important people.She does not manipulate others and a... - Maria - How much would you like this person for a long-term committed relationship?,Paul can get frustrated fairly easy. He admits he is not always concerned with the morality of hi... - Paul - How much would you like this person for a short-term sexual affair?,Paul can get frustrated fairly easy. He admits he is not always concerned with the morality of hi... - Paul - How much would you like this person for a long-term committed relationship?,Natalie can get frustrated fairly easy. She admits she is not always concerned with the morality... - Natalie - How much would you like this person for a short-term sexual affair?,Natalie can get frustrated fairly easy. She admits she is not always concerned with the morality... - Natalie - How much would you like this person for a long-term committed relationship?,Robert occasionally wants others to admire him and what he does. He does not really seek attentio... - Robert - How much would you like this person for a short-term sexual affair?,Robert occasionally wants others to admire him and what he does. He does not really seek attentio... - Robert - How much would you like this person for a long-term committed relationship?,Greta occasionally wants others to admire her and what she does. She does not really seek attenti... - Greta - How much would you like this person for a short-term sexual affair?,Greta occasionally wants others to admire her and what she does. She does not really seek attenti... - Greta - How much would you like this person for a long-term committed relationship?,"Sam admits he has used manipulation at times, but he doesn't engage in it regularly. Although he... - Sam - How much would you like this person for a short-term sexual affair?","Sam admits he has used manipulation at times, but he doesn't engage in it regularly. Although he... - Sam - How much would you like this person for a long-term committed relationship?","Rachel admits she has used manipulation at times, but she doesn't engage in it regularly. Althoug... - Rachel - How much would you like this person for a short-term sexual affair?","Rachel admits she has used manipulation at times, but she doesn't engage in it regularly. Althoug... - Rachel - How much would you like this person for a long-term committed relationship?",Patrick is a calm individual who does not lose his temper quickly. He is perceived as a remorsefu... - Patrick - How much would you like this person for a short-term sexual affair?,Patrick is a calm individual who does not lose his temper quickly. He is perceived as a remorsefu... - Patrick - How much would you like this person for a long-term committed relationship?,Anna is a calm individual who does not lose her temper quickly. She is perceived as a remorseful... - Anna - How much would you like this person for a short-term sexual affair?,Anna is a calm individual who does not lose her temper quickly. She is perceived as a remorseful... - Anna - How much would you like this person for a long-term committed relationship?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_3_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID25#1_1""}","{""ImportId"":""QID25#1_2""}","{""ImportId"":""QID28#1_1""}","{""ImportId"":""QID28#1_2""}","{""ImportId"":""QID31#1_1""}","{""ImportId"":""QID31#1_2""}","{""ImportId"":""QID33#1_1""}","{""ImportId"":""QID33#1_2""}","{""ImportId"":""QID35#1_1""}","{""ImportId"":""QID35#1_2""}","{""ImportId"":""QID37#1_1""}","{""ImportId"":""QID37#1_2""}","{""ImportId"":""QID39#1_1""}","{""ImportId"":""QID39#1_2""}","{""ImportId"":""QID41#1_1""}","{""ImportId"":""QID41#1_2""}","{""ImportId"":""QID43#1_1""}","{""ImportId"":""QID43#1_2""}","{""ImportId"":""QID45#1_1""}","{""ImportId"":""QID45#1_2""}","{""ImportId"":""QID47#1_1""}","{""ImportId"":""QID47#1_2""}","{""ImportId"":""QID49#1_1""}","{""ImportId"":""QID49#1_2""}","{""ImportId"":""QID51#1_1""}","{""ImportId"":""QID51#1_2""}","{""ImportId"":""QID53#1_1""}","{""ImportId"":""QID53#1_2""}","{""ImportId"":""QID55#1_1""}","{""ImportId"":""QID55#1_2""}","{""ImportId"":""QID57#1_1""}","{""ImportId"":""QID57#1_2""}","{""ImportId"":""QID60#1_1""}","{""ImportId"":""QID60#1_2""}","{""ImportId"":""QID62#1_1""}","{""ImportId"":""QID62#1_2""}"
2020-03-21 18:33:40,2020-03-21 18:41:15,IP Address,109.149.3.198,100,454,True,2020-03-21 18:41:16,R_3ELRTP9ByLSXP3S,,,,,55.9510040283203125,-3.19720458984375,anonymous,EN,I accept,,paddylovesyavorski,Male,,Female,,,3 - Moderately interested,1 - Not at all interested,,,3 - Moderately interested,3 - Moderately interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,2 - Slightly interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested
2020-03-21 19:00:05,2020-03-21 19:07:48,IP Address,86.19.186.203,100,463,True,2020-03-21 19:07:49,R_33fIkGRWNFClD6O,,,,,52.61810302734375,-1.1804046630859375,anonymous,EN,I accept,,280418,Female,,Male,4 - Very interested,3 - Moderately interested,,,4 - Very interested,2 - Slightly interested,,,3 - Moderately interested,1 - Not at all interested,,,5 - Extremely interested,3 - Moderately interested,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,2 - Slightly interested,,,3 - Moderately interested,2 - Slightly interested,,,3 - Moderately interested,2 - Slightly interested,,,2 - Slightly interested,3 - Moderately interested,,
2020-03-21 19:04:26,2020-03-21 19:08:52,IP Address,77.96.89.150,100,266,True,2020-03-21 19:08:52,R_1IaQYSxSgqjtyol,,,,,55.9409027099609375,-3.2938995361328125,anonymous,EN,I accept,,Dew4Prez!,Female,,Male,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,4 - Very interested,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,1 - Not at all interested,,,1 - Not at all interested,3 - Moderately interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,4 - Very interested,,,1 - Not at all interested,1 - Not at all interested,,
2020-03-21 19:11:41,2020-03-21 19:18:07,IP Address,174.228.9.191,100,385,True,2020-03-21 19:18:07,R_3HoARSWHwt6Ikbv,,,,,27.4674072265625,-82.5110015869140625,anonymous,EN,I accept,,Memorykakode,Male,,Female,,,2 - Slightly interested,1 - Not at all interested,,,3 - Moderately interested,2 - Slightly interested,,,2 - Slightly interested,1 - Not at all interested,,,2 - Slightly interested,1 - Not at all interested,,,3 - Moderately interested,1 - Not at all interested,,,2 - Slightly interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested
2020-03-21 19:29:37,2020-03-21 19:40:00,IP Address,86.169.113.167,100,622,True,2020-03-21 19:40:00,R_3EcJiCSpe6esq2U,,,,,55.9510040283203125,-3.19720458984375,anonymous,EN,I accept,,DG16,Female,,Male,2 - Slightly interested,1 - Not at all interested,,,3 - Moderately interested,3 - Moderately interested,,,2 - Slightly interested,2 - Slightly interested,,,4 - Very interested,5 - Extremely interested,,,2 - Slightly interested,3 - Moderately interested,,,3 - Moderately interested,4 - Very interested,,,4 - Very interested,3 - Moderately interested,,,2 - Slightly interested,3 - Moderately interested,,,2 - Slightly interested,3 - Moderately interested,,
2020-03-22 00:24:49,2020-03-22 00:28:17,IP Address,78.83.137.24,100,208,True,2020-03-22 00:28:17,R_ZEqX3EFj24s3Mat,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,VG22,Female,,Male,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,2 - Slightly interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,,2 - Slightly interested,3 - Moderately interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,2 - Slightly interested,,
2020-03-22 00:42:04,2020-03-22 00:49:20,IP Address,130.204.76.221,100,435,True,2020-03-22 00:49:21,R_1hVUVxNjxNfy4Uv,,,,,42.6829986572265625,23.3175048828125,anonymous,EN,I accept,,69420,Male,,Female,,,1 - Not at all interested,1 - Not at all interested,,,4 - Very interested,3 - Moderately interested,,,2 - Slightly interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,3 - Moderately interested,,,3 - Moderately interested,1 - Not at all interested,,,3 - Moderately interested,2 - Slightly interested,,,2 - Slightly interested,2 - Slightly interested,,,4 - Very interested,3 - Moderately interested
2020-03-22 00:56:30,2020-03-22 01:02:09,IP Address,80.227.137.126,100,338,True,2020-03-22 01:02:09,R_2Y5jevephJJCHBE,,,,,25.2633056640625,55.3087005615234375,anonymous,EN,I accept,,Coconuts,Female,,Male,1 - Not at all interested,1 - Not at all interested,,,1 - Not at all interested,2 - Slightly interested,,,1 - Not at all interested,1 - Not at all interested,,,3 - Moderately interested,1 - Not at all interested,,,1 - Not at all interested,1 - Not at all interested,,,2 - Slightly interested,1 - Not at all interested,,,3 - Moderately interested,2 - Slightly interested,,,4 - Very interested,3 - Moderately interested,,,1 - Not at all interested,1 - Not at all interested,,
